,Firmenname,Stromkennzeichnung Atom,Kohle,Erdgas,sonst. Fossil,EEG Strom,Erneuerbare Energien,Check,Kohle und sonst. Fossile Energieträger,Stromeinkauf (ohne EEG) Atom,Kohle2,Erdgas2,sonst. Fossil 2,Erneuerbare Energien 2,Kohle und sonst. Fossile Energieträger 2,CO2 Emmision (g/KWh),Atommüll (g/kWh),Tatsächlicher CO2-Ausstoß (Stromeinkauf) ohne EEG,Link,Anmerkungen,Lichtblick Liste,Adresse,PLZ,Stadt,URL,Kontakt     (nur relevante Anbieter),RoWo-Kriterien,A,B,C,D,R,X,Eigene Kraftwerke/Anteile an Kraftwerken,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung,RoWo Liste
246,ESWE Versorgungs AG,0.00%,0.00%,22.70%,0.00%,52.30%,25.00%,100.00%,22.70%,0.00%,0.00%,47.59%,0.00%,52.41%,47.59%,80.0,0.0,167.714884696017,https://www.eswe.com/fileadmin/user_upload/images/stromkennzeichnung2017.png,,True,Konradinerallee 25,65189,Wiesbaden,https://www.eswe-versorgung.de,,A,,,,,,,,,,,True
247,EUROGATE Technical Services GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www1.eurogate.de/Leistungen/Hafentechnik/(tab)/1752,nicht aktuell,True,,,,,,,,,,,,,,,,,
248,evd energieversorgung Dormagen GmbH,3.30%,18.80%,22.80%,1.70%,52.90%,0.50%,100.00%,43.30%,7.01%,39.92%,48.41%,3.61%,1.06%,91.93%,262.0,0.0001,556.263269639066,https://www.evd-dormagen.de/dormagenGips/evd-Dormagen/evd-dormagen.de_Relaunch2012/Produkte/Strom/Service-Ratgeber-Strom/Stromkennzeichnung/diagramm-2017.pdf,,True,Mathias-Giesen-Straße 13,41540,Dormagen,https://www.evd-dormagen.de,,A,,,,,,,,,,,True
249,EVE EnergieVersorgung Elbtalaue GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.eve-dan.de/energieversorgung/strom/produkte-preise/,FEHLER fehlerhafte Kennzeichnung,True,,,,,,,,,,,,,,,,,
250,EVH GmbH,2.40%,10.50%,31.40%,0.50%,51.90%,3.30%,100.00%,42.40%,4.99%,21.83%,65.28%,1.04%,6.86%,88.15%,203.0,0.0001,422.24532224532203,https://evh.de/privatkunden/strom/strom/stromkennzeichnung,,True,Bornknechtstr. 5,06108,Halle,https://evh.de,,A,,,,,,,,,,,True
251,EVI Energieversorgung Hildesheim GmbH & Co. KG,6.70%,17.40%,3.60%,0.30%,52.90%,19.00%,99.90%,21.30%,14.23%,36.94%,7.64%,0.64%,40.34%,45.22%,191.0,0.0002,405.52016985138,https://www.evi-hildesheim.de/strommix,,True,,,,,,,,,,,,,,,,,
252,EVI Energieversorgung Ihmert GmbH & Co KG,6.40%,21.70%,10.80%,1.20%,52.90%,7.00%,100.00%,33.70%,13.59%,46.07%,22.93%,2.55%,14.86%,71.55%,259.0,0.0002,549.893842887474,http://www.stadtwerke-hemer.de/de/Strom/Stromkennzeichnung/,,True,,,,,,,,,,,,,,,,,
253,evon Energie - Eine Marke der EVO Vertrieb GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.evon-energie.de/service/energiemix-stromherkunft/,nicht aktuell,True,,,,,,,,,,,,,,,,,
254,EVS Energieversorgung Schmalkalden GmbH,18.20%,22.30%,5.70%,0.90%,52.90%,0.00%,100.00%,28.90%,38.64%,47.35%,12.10%,1.91%,0.00%,61.36%,243.0,0.0005,515.923566878981,http://www.energie-schmalkalden.de/stromkennzeichnung-gem-42-energiewirtschaftsgesetz/,,True,,,,,,,,,,,,,,,,,
255,EVU Langenpreising,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.vg-wartenberg.de/langenpreising/evu-stromvertrieb/stromkennzeichnung,nicht aktuell,True,,,,,,,,,,,,,,,,,
256,EVU Markt Kipfenberg,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.evu-kipfenberg.de/Stromkennzeichnung,nicht aktuell,True,,,,,,,,,,,,,,,,,
257,EVU Späth e.K,6.60%,31.70%,7.40%,1.20%,52.90%,0.10%,99.90%,40.30%,14.01%,67.30%,15.71%,2.55%,0.21%,85.56%,358.0,0.0002,760.084925690021,https://sowa-strom.de/download/an5upo77u62sbn43p5f01dun23u/Stromkennzeichnung_Spaeth_2017.pdf,,True,,,,,,,,,,,,,,,,,
258,EW Geiger GmbH,6.60%,31.70%,7.40%,1.20%,52.90%,0.10%,99.90%,40.30%,14.01%,67.30%,15.71%,2.55%,0.21%,85.56%,358.0,0.0002,760.084925690021,https://ewerk-geiger.de/download/anppohbqe5kf2rsgt13t7qf6f2c/Stromkennzeichnung_Geiger_2017.pdf,,True,,,,,,,,,,,,,,,,,
259,EWE VERTRIEB GmbH,9.60%,35.80%,10.90%,1.70%,39.20%,2.80%,100.00%,48.40%,15.79%,58.88%,17.93%,2.80%,4.61%,79.61%,393.0,0.0003,646.381578947368,https://www.ewe.de/unternehmen/energie/strom-rahmenbedingungen/stromkennzeichnung,,True,Cloppenburger Str. 310,26133,Oldenburg,https://www.ewe.de,,A,,,,,,,,,,,True
260,E-Werk Gerolsheim,8.70%,28.60%,8.40%,1.30%,52.90%,0.00%,99.90%,38.30%,18.47%,60.72%,17.83%,2.76%,0.00%,81.32%,323.0,0.0002,685.774946921444,https://www.e-werk-gerolsheim.de/_Resources/Persistent/5aed286b3075b0c53e045f621bf31d8edba00a06/2017_Stromkennzeichnung_Gerolsheim.pdf,,True,,,,,,,,,,,,,,,,,
261,e-werk Sachsenwald GmbH,6.00%,20.00%,16.00%,1.00%,53.00%,4.00%,100.00%,37.00%,12.77%,42.55%,34.04%,2.13%,8.51%,78.72%,251.0,0.0002,534.042553191489,http://www.ewerk-sachsenwald.de/de/Strom/Stromkennzeichung/Stromkennzeichung.html,,True,Hermann-Körner-Straße 61,21465,Reinbek,http://www.ewerk-sachsenwald.de,,A,,,,,,,,,,,True
262,"E-Werk Satrup, Heinrich N. Clausen GmbH & Co.KG",,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://e-werk.heinrich-n-clausen.de/allg_veroeffentlichungen/stromzusammensetzung.html,nicht aktuell,True,Mühlenstraße 11,24986,Satrup,http://e-werk.heinrich-n-clausen.de,,A,,,,,,,,,,,True
263,E-Werke Haniel Haimhausen OHG,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.oekostrom-bayern.de/oekostrom/oekostrom-mix/,,True,Dachauer Straße 4 a,85778,Haimhausen,https://www.oekostrom-bayern.de/,,R?,,,?,,,,,KlimaINVEST,,,True
264,EWG Elektrizitätsversorgung Werther GmbH,32.40%,8.40%,5.40%,0.40%,52.90%,0.50%,100.00%,14.20%,68.79%,17.83%,11.46%,0.85%,1.06%,30.15%,106.0,0.0009,225.05307855626302,https://www.ewg-werther.de/fileadmin/content/documents/Dokumente_fuer_Tarife/EWG_Stromkennzeichung.pdf,,True,Alte Bielefelder Straße 28,33824,Werther,https://www.ewg-werther.de,,A,,,,,,,,,,,True
265,EWR AG,5.00%,26.90%,2.90%,0.30%,50.10%,14.80%,100.00%,30.10%,10.02%,53.91%,5.81%,0.60%,29.66%,60.32%,279.0,0.0001,559.118236472946,https://www.ewr.de/fileadmin/media/PDF/Produkte/Stromkennzeichnung_EWR_2018_01.pdf,,True,,,,,,,,,,,,,,,,,
266,EWR GmbH - Energie und Wasser für Remscheid,7.60%,24.70%,5.40%,0.80%,52.90%,8.60%,100.00%,30.90%,16.14%,52.44%,11.46%,1.70%,18.26%,65.61%,275.0,0.0002,583.864118895966,https://www.ewr-remscheid.de/fileadmin/EWR_Homepage/Strom/Downloads/Energietr%C3%A4germix_2019__Bezugsjahr_2017_.pdf,,True,Neuenkamper Straße 81-87,42855,Remscheid,https://www.ewr-remscheid.de,,A,,,,,,,,,,,True
267,ew-schmid gmbh,6.60%,31.70%,7.40%,1.20%,52.90%,0.20%,100.00%,40.30%,14.01%,67.30%,15.71%,2.55%,0.42%,85.56%,358.0,0.0002,760.084925690021,https://ew-schmid.de/stromkennzeichnung/,,True,Untere Ringstr. 28,94437,Mamming,https://ew-schmid.de,,A,,,,,,,,,,,True
268,EWV Energie- und Wasser-Versorgung GmbH Stolberg,9.80%,32.70%,5.40%,0.60%,49.00%,2.50%,100.00%,38.70%,19.22%,64.12%,10.59%,1.18%,4.90%,75.88%,357.0,0.0003,700.0,https://www.ewv.de/fileadmin/uploads/Dokumente/privatkunden/produkte/EWVSTROM/Stromkennzeichnung.pdf,,True,Willy-Brandt-Platz 2,52222,Stolberg,https://www.ewv.de,,A,,,,,,,,,,,True
269,ExtraEnergie GmbH,0.00%,0.00%,0.00%,0.00%,49.00%,51.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.extraenergie.com/sites/default/files/pictures/content_img/18092018_Stromkennzeichnung_extraenergie.png,,True,,,,,,,,,,,,,,,,,
270,EZV Energie- und Service GmbH & Co. KG Untermain,0.40%,0.80%,0.20%,0.00%,52.90%,45.70%,100.00%,1.00%,0.85%,1.70%,0.42%,0.00%,97.03%,2.12%,9.0,0.0,19.108280254777103,http://www.ezv-energie.de/index.php/formulare.html,         ,True,Landstraße 47,63939,Wörth a. Main,http://ezv-energie.de,,R?,"1,4% Kohle-Kernenergie ",,?,,,,x,,,,True
271,Fair Trade Power Deutschland GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.fairtradepower.de/electricity.php,,True,,,,,,,,,,,,,,,,,
272,FairEnergie GmbH,10.20%,24.20%,7.70%,1.00%,52.50%,4.30%,99.90%,32.90%,21.47%,50.95%,16.21%,2.11%,9.05%,69.26%,265.0,0.0003,557.894736842105,https://www.fairenergie.de/fileadmin/user_upload/onlineantraege/preislisten/preisblatt_oekomix.pdf,,True,Hauffstraße 89,72762,Reutlingen,https://www.fairenergie.de,,A,,,,,,,,,,,True
273,FaNergie - eine Marke der Stadtwerke Freiberg am Neckar Vertriebs-GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.fanergie.de/wp-content/uploads/2018/11/FAN_Stromkennzeichnung_2018_NEU_V2.pdf,,True,,,,,,,,,,,,,,,,,
274,Feuchter Gemeindewerke GmbH,5.50%,15.70%,5.70%,0.70%,52.90%,19.50%,100.00%,22.10%,11.68%,33.33%,12.10%,1.49%,41.40%,46.92%,178.0,0.0,377.91932059448,https://www.feucht-gw.de/fileadmin/FE_User/Dateien/FGW/Strom/Stromvertrieb/Produktinformationen/Stromkennzeichnung_FGW_2017.pdf,,True,Unterer Zeidlerweg 1,90537,Feucht,https://www.feucht-gw.de,,A,,,,,,,,,,,True
275,Filderstadtwerke,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.filderstadtwerke.de/de/Privatkunden/Stromkennzeichnung,,True,Brühlstraße 41,70794,Filderstadt-Sielmingen,https://www.filderstadtwerke.de,,R,,,,,,,,KlimaINVEST,,,True
276,First Utility GmbH,8.00%,24.70%,9.30%,1.50%,52.90%,3.60%,100.00%,35.50%,16.99%,52.44%,19.75%,3.18%,7.64%,75.37%,289.0,0.0002,613.588110403397,https://www.shellprivatenergie.de/energiemix,,True,,,,,,,,,,,,,,,,,
277,Fischereihafen-Betriebsgesellschaft mbH,9.80%,36.70%,10.90%,1.70%,37.40%,3.50%,100.00%,49.30%,15.65%,58.63%,17.41%,2.72%,5.59%,78.75%,,,0.0,https://www.fbg-bremerhaven.de/fileadmin/user/unternehmen/PDF/Strom/2018/Stromkennzeichnung/Stromkennzeichnung_Gesamtmix_2017.pdf,FEHLER Umweltbelastungen,True,Lengstraße 1,27572,Bremerhaven,https://www.fbg-bremerhaven.de,,A,,,,,,,,,,,True
278,FischerStrom KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,FischerStrom KG,FEHLER keine Website,True,,,,,,,,,,,,,,,,,
279,Fohlenstrom - eine Marke der NEW Niederrhein Energie und Wasser GmbH,7.10%,30.00%,3.20%,0.40%,52.80%,6.50%,100.00%,33.60%,15.04%,63.56%,6.78%,0.85%,13.77%,71.19%,319.0,0.0002,675.847457627119,https://www.new-energie.de/sites/new-energie.de/files/website/main-navigation/strom/stromkennzeichnung_der_new_energie.pdf,,True,,,,,,,,,,,,,,,,,
280,Freiberger Stromversorgung GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.stadtwerke-freiberg.de/service/informationen/stromkennzeichnung-2016.html,nicht aktuell,True,Poststraße 5,09599,Freiberg,https://www.stadtwerke-freiberg.de/,,A,,,,,,,,,,,True
281,Freisinger Stadtwerke Versorgungs-GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.freisinger-stadtwerke.de/de/Energie-Wasser/Strom/Stromkennzeichnung/,,True,Wippenhauser Str. 19,85354,Freising,https://www.freisinger-stadtwerke.de,,R?,,,,,,,,TÜV Süd,,,True
282,FREITALER STROM+GAS GMBH,8.80%,27.10%,9.90%,1.30%,52.80%,0.10%,100.00%,38.30%,18.64%,57.42%,20.97%,2.75%,0.21%,81.14%,310.0,0.0002,656.779661016949,https://www.fsg-freital.de/privatkunden/strom/produkte/fsg-mix-strom.html,,True,Potschappler Straße 2,01705,Freital/Sachsen,https://www.fsg-freital.de,,A,,,,,,,,,,,True
283,friesenenergie GmbH,0.00%,0.00%,0.00%,0.00%,52.30%,47.70%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.friesenenergie.de/seite/330825/ver%C3%B6ffentlichungspflichten.html,,True,,,,,,,,,,,,,,,,,
284,Fulda-Eder Energie GmbH & Co. KG - Eine Marke der Städtische Werke Kassel AG,1.40%,16.30%,1.50%,0.40%,50.10%,30.30%,100.00%,18.20%,2.81%,32.67%,3.01%,0.80%,60.72%,36.47%,177.0,0.0,354.709418837675,https://www.fulda-eder-energie.de/produkte/fee-strom/,,True,,,,,,,,,,,,,,,,,
285,fünfwerke GmbH & Co. KG,7.00%,31.10%,8.40%,0.60%,52.90%,0.00%,100.00%,40.10%,14.86%,66.03%,17.83%,1.27%,0.00%,85.14%,349.0,0.0002,740.976645435244,https://www.fuenfwerke.de/media/PDF-Dokumente/071-120-Stromkennzeichnung-2018.pdf,,True,,,,,,,,,,,,,,,,,
286,Fürstlich Fugger v. Glött'sche E-Werks GmbH & Co. KG,6.60%,31.70%,7.40%,1.20%,52.90%,0.10%,99.90%,40.30%,14.01%,67.30%,15.71%,2.55%,0.21%,85.56%,358.0,0.0002,760.084925690021,https://ffew.de/download/ffew_grundversorgung_2019.pdf,FEHLER Deutschland-Mix,True,,,,,,,,,,,,,,,,,
287,Fuxx-Die Sparenergie GmbH,6.50%,17.36%,5.64%,1.04%,52.94%,16.52%,100.00%,24.04%,13.81%,36.89%,11.98%,2.21%,35.10%,51.08%,203.0,0.0002,431.364215894603,https://www.fuxx-sparenergie.de/rechtliches/stromkennzeichnung/,,True,,,,,,,,,,,,,,,,,
288,Gammertinger Energie- und Wasserversorgung GmbH,14.60%,22.60%,5.80%,1.80%,52.90%,2.30%,100.00%,30.20%,31.00%,47.98%,12.31%,3.82%,4.88%,64.12%,236.0,0.0004,501.06157112526495,http://www.gipsprojekt.de/featureGips/ew_gammertingen/EnWGTool/Stromnetz/Grund-und_Ersatzversorgung_-_Sonstiges/Stromkennzeichnung/Stromkennzeichnung-2018-auf-Basis-von-2017.pdf,,True,,,,,,,,,,,,,,,,,
289,GAS IN GmbH,7.20%,30.10%,8.50%,1.30%,52.90%,0.00%,100.00%,39.90%,15.29%,63.91%,18.05%,2.76%,0.00%,84.71%,343.0,0.0002,728.23779193206,https://www.gas-in.de/downloads/Strommix_GasIn_Strom_2017.pdf,,True,,,,,,,,,,,,,,,,,
290,Gas- und Energiegenossenschaft Ost- und Mitteldeutschland eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,www.energiegenossenschaft.de/,nicht vorhanden,True,,,,,,,,,,,,,,,,,
291,Gas- und Wärmedienst Börnsen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gas-und-waermedienst-boernsen.de/crbst_18.html,FEHLER fehlerhafte Kennzeichnung,True,,,,,,,,,,,,,,,,,
292,Gas- und Wasserversorgung Höxter GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.gwh-hoexter.de/strom/allgemeine-hinweise/stromkennzeichnung/,,True,Corveyer Allee 21,37671,Höxter,https://www.gwh-hoexter.de,,R?,,,,,,,,,,,True
293,GASAG AG,1.30%,4.00%,1.50%,0.20%,52.90%,40.10%,100.00%,5.70%,2.76%,8.49%,3.18%,0.42%,85.14%,12.10%,47.0,0.0,99.7876857749469,https://www.gasag.de/-/media/files/stromkennzeichnungen/gasag-stromkennzeichnung.ashx,,True,,,,,,,,,,,,,,,,,
294,GASPAR - eine Marke der rhenag Rheinische Energie AG,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://gaspar-energie.de/informationen/klimaschutz/klimaschutz-und-gaspar-strom/,,True,Bayenthalgürtel 9,50968,Köln,https://gaspar-energie.de,,?,,Marke der rhenag AG,?,,,,,,,,True
295,Gasversorgungsgesellschaft mbH Rhein-Erft (GVG),,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.erftpower.de/index.php?id=1#faq,FEHLER fehlerhafte Kennzeichnung,True,,,,,,,,,,,,,,,,,
296,Gebrüder Eirich GmbH & Co KG Elektrizitätswerk,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gebruedereirich.de/index.php?cat=Stromversorgung&page=Stromkennzeichnung,FEHLER mit EEG,True,Walldürner Str. 50,74736,Hardheim,https://www.gebruedereirich.de,,R?,,,?,,,,,,,,True
297,Gebrüder Heinzelmann Elektrizitätswerk GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gebr-heinzelmann.com/elektrizitaet/stromhandel/#stromzusammensetzung,FEHLER fehlerhafte Kennzeichnung,True,Halmeil 3,77709,Wolfach-Halbmeil,https://www.gebr-heinzelmann.com,,R,,regional erzeugter Strom,,,,,,,,,True
298,Gebrüder Miller KG Elektrizitätsversorgung,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://gebrueder-miller.de/index.php/stromkennzeichnung.html,nicht aktuell,True,,,,,,,,,,,,,,,,,
299,GELSENWASSER AG,0.80%,2.60%,1.00%,0.10%,52.90%,42.50%,99.90%,3.70%,1.70%,5.52%,2.12%,0.21%,90.23%,7.86%,31.0,0.0,65.8174097664544,https://www.gelsenwasser.de/strom/allgemeine-hinweise/stromkennzeichnung/?tx_news_pi1%5B%40widget_0%5D%5BcurrentPage%5D=1&tx_news_pi1%5BoverwriteDemand%5D%5Bcategories%5D=1&cHash=50823efd7ddafb3b068e5cf817aa806a,,True,,,,,,,,,,,,,,,,,
300,Gemeinde Heroldsbach Stromversorgung,16.30%,20.10%,5.20%,0.90%,52.90%,4.60%,100.00%,26.20%,34.61%,42.68%,11.04%,1.91%,9.77%,55.63%,220.0,0.0004,467.091295116773,https://www.heroldsbach.de/fileadmin/Downloads/Strom/Energiemix_2018.pdf,,True,Hauptstraße 9,91336,Heroldsbach,https://www.heroldsbach.de,,A,?,,?,,,,,,,,True
301,Gemeinde-Elektrizitäts- und Wasserwerk-Werk Burtenbach,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://docs.wixstatic.com/ugd/5aed84_1754fc534ad5487abb15d208b8fd8732.pdf,FEHLER mit EEG,True,,,,,,,,,,,,,,,,,
302,Gemeindewerk Hördt,4.70%,15.60%,26.10%,0.60%,52.90%,0.10%,100.00%,42.30%,9.98%,33.12%,55.41%,1.27%,0.21%,89.81%,289.0,0.0001,613.588110403397,https://www.gemeindewerke-ruelzheim.de/xxximg/imgnews/energietraegermix2018.gif,,True,Am Deutschordensplatz 1,76761,Rülzheim,https://www.heroldsbach.de,,A,,,,,,,,,,,True
303,Gemeindewerk Kaufungen GmbH & Co. KG - Eine Marke der Städtische Werke AG Kassel,1.40%,16.30%,1.50%,0.40%,50.10%,30.30%,100.00%,18.20%,2.81%,32.67%,3.01%,0.80%,60.72%,36.47%,177.0,0.0,354.709418837675,https://www.gemeindewerk-kaufungen.de/produkte/strom/,,True,,,,,,,,,,,,,,,,,
304,Gemeindewerke Ammerbuch GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gemeindewerke-ammerbuch.de/produkte/stromkennzeichnung,nicht aktuell,True,Kirchstraße 6,72119,Ammerbuch,https://www.gemeindewerke-ammerbuch.de,,A,,,,,,,,,,,True
305,Gemeindewerke Bad Sassendorf GmbH & Co. KG,4.60%,13.30%,1.80%,0.30%,52.90%,27.10%,100.00%,15.40%,9.77%,28.24%,3.82%,0.64%,57.54%,32.70%,140.0,0.0001,297.23991507431,https://www.gw-bad-sassendorf.de/de/stromversorgung/haeufige-fragen/stromkennzeichnung.php,,True,Eichendorffstraße 1,59505,Bad Sassendorf,https://www.gw-bad-sassendorf.de,,A,,,,,,,,,,,True
306,Gemeindewerke Baiersbronn,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://gemeindewerke-baiersbronn.de/strom/informationen,nicht aktuell,True,Oberdorfstr. 46,72270,Baiersbronn,https://gemeindewerke-baiersbronn.de,,A,,,,,,,,,,,True
307,Gemeindewerke Bayerisch Gmain,9.60%,24.60%,8.00%,1.10%,52.90%,3.70%,99.90%,33.70%,20.38%,52.23%,16.99%,2.34%,7.86%,71.55%,277.0,0.0003,588.110403397028,http://www.bayerisch.gmain.de/medien/energiemix-2018-internet-neu-bg.pdf,,True,,,,,,,,,,,,,,,,,
308,Gemeindewerke Bobenheim-Roxheim,8.70%,28.30%,8.70%,1.30%,52.90%,0.10%,100.00%,38.30%,18.47%,60.08%,18.47%,2.76%,0.21%,81.32%,322.0,0.0002,683.6518046709131,https://www.gemeindewerke-boro.de/_Resources/Persistent/ce59eaa8a4214eadba962100f8b15e451f3c7688/2017_Stromkennzeichnung_BoRo.pdf,,True,Rathausplatz,67240,Bobenheim-Roxheim,https://www.stw-frankenthal.de,,?,,,,,,,,,x,,True
309,Gemeindewerke Brüggen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.gemeindewerke-brueggen-wasser-strom.de/,nicht vorhanden,True,,,,,,,,,,,,,,,,,
310,Gemeindewerke Budenheim AöR,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gemeindewerke-budenheim.de/supermenu/downloads/,FEHLER fehlerhafte Kennzeichnung,True,Untere Stefanstr. 65,55257,Budenheim,https://www.gemeindewerke-budenheim.de,,A,,,,,,,,,,,True
311,Gemeindewerke Cadolzburg,9.00%,24.50%,8.60%,0.90%,52.90%,4.20%,100.10%,34.00%,19.11%,52.02%,18.26%,1.91%,8.92%,72.19%,270.0,0.0002,573.248407643312,https://www.werke-cadolzburg.de/strom/downloads-strom/netzzugang-entgelte/,,True,,,,,,,,,,,,,,,,,
312,Gemeindewerke Dudenhofen,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.vgrd.de/vg_rd/Werke/Strom/,nicht aktuell,True,,,,,,,,,,,,,,,,,
313,Gemeindewerke Ebersdorf,18.00%,22.10%,5.70%,0.90%,52.90%,0.30%,99.90%,28.70%,38.22%,46.92%,12.10%,1.91%,0.64%,60.93%,242.0,0.0005,513.8004246284501,https://www.ebersdorf.net/media/1993/preisblatt-fuer-die-grund-und-ersatzversorgung-2019.pdf,,True,,,,,,,,,,,,,,,,,
314,Gemeindewerke Eppelborn GmbH & Co. KG,1.80%,2.90%,1.80%,0.00%,52.90%,40.60%,100.00%,4.70%,3.82%,6.16%,3.82%,0.00%,86.20%,9.98%,36.0,0.0,76.4331210191083,https://www.kommpower.de/wp-content/uploads/2018/10/Herkunftsnachweise_2018-GWE.png,,True,,,,,,,,,,,,,,,,,
315,Gemeindewerke Everswinkel GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.gemeindewerke-everswinkel.de/de-wAssets/docs/preise/20190101-Preisblatt-Strom.pdf,,True,,,,,,,,,,,,,,,,,
316,Gemeindewerke Frammersbach,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.frammersbach.de/seite/bs/marktgemeinde/0304:324/-/Stromversorgung___E-Werk.html,nicht aktuell,True,Marktplatz 3 (Rathaus),97833,Frammersbach,https://www.frammersbach.de,,A,,,,,,,,,,,True
317,Gemeindewerke Gangkofen,11.80%,31.30%,11.20%,1.60%,44.20%,0.00%,100.10%,44.10%,21.15%,56.09%,20.07%,2.87%,0.00%,79.03%,355.0,0.0001,636.917562724014,https://www.gangkofen.de/stromkennzeichnung-2019,,True,,,,,,,,,,,,,,,,,
318,Gemeindewerke Garmisch-Partenkirchen,15.50%,19.00%,8.40%,0.90%,52.90%,3.30%,100.00%,28.30%,32.91%,40.34%,17.83%,1.91%,7.01%,60.08%,213.0,0.0004,452.229299363057,https://www.gw-gap.de/strom/informationen,,True,Adlerstraße 25,82467,Garmisch-Partenkirchen,https://www.gw-gap.de,,A,,,,,,,,,,,True
319,Gemeindewerke Georgensgmünd,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.gemeindewerke-georgensgmuend.de/index.php?id=349,nicht aktuell,True,Bahnhofstrasse 4,91166,Georgensgmünd,https://www.gemeindewerke-georgensgmuend.de,,A,,,,,,,,,,,True
320,Gemeindewerke Grefrath GmbH,8.90%,32.10%,5.30%,0.70%,52.90%,0.10%,100.00%,38.10%,18.90%,68.15%,11.25%,1.49%,0.21%,80.89%,353.0,0.0001,749.469214437367,https://www.gemeindewerke-grefrath.de/stromkennzeichnung,,True,,,,,,,,,,,,,,,,,
