Stromanbieter,Adresse,PLZ,Stadt,URL,Kontakt     (nur relevante Anbieter),RoWo-Kriterien,A,B,C,D,R,X,Eigene Kraftwerke/Anteile an Kraftwerken,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
Gemeindewerke Nümbrecht GmbH,Schulstraße 4,51588,Nümbrecht,https://www.gwn24.de,,R?,,,?,,,,,RenewablePLUS,,
Gemeindewerke Oberaudorf Elektrizitäts- und Wasserwerk,Kranzhornstraße 2,83080,Oberaudorf,http://www.gemeindewerke-oberaudorf.de,,A,,,,,,,,,,
Gemeindewerke Oberhaching GmbH,Alpenstraße 11,82041,Oberhaching,https://www.gemeindewerke-oberhaching.de/,,A,,,,,,,,,,
Gemeindewerke Partenstein,Hauptstrasse 24,97846,Partenstein,https://www.vg-partenstein.de,,A,,,,,,,,,,
Gemeindewerke Peiner Land GmbH & Co.KG,Woltorfer Straße 64,31224,Peine,https://www.gemeindewerke-peinerland.de/,,A,,,,,,,,,,
Gemeindewerke Peißenberg KU,Forster Str. 19,82380,Peißenberg,https://www.gemeindewerke-peissenberg.de,,A,,,,,,,,,,
Gemeindewerke Pleinfeld,Marktplatz 11,91785,Pleinfeld,https://www.gw-pleinfeld.de,,A,,,,,,,,,,
Gemeindewerke Rheinzabern,Hauptstraße 33,76764,Rheinzabern,http://www.evu-rheinzabern.de,,A,,,,,,,,,,
Gemeindewerke Rückersdorf,Brunnenweg 9,90607,Rückersdorf,https://gemeindewerke.rueckersdorf.de,,A,,,,,,,,,,
Gemeindewerke Schönkirchen GmbH,Dorfstraße 4,24232,Schönkirchen,https://gemeindewerke-schoenkirchen.de,,R?,,,?,,,,,RenewablePLUS,,
Gemeindewerke Schutterwald,Rathaus,77746,Schutterwald,https://www.gemeindewerke-schutterwald.de,,A,,,,,,,,,,
Gemeindewerke Schwarzenbruck GmbH,Unterer Zeidlerweg 1,90537,Feucht,https://www.feucht-gw.de,,A,,,,,,,,,,
Gemeindewerke Sinzheim,Müllhofener Str. 22,76547,Sinzheim,https://www.gw-sinzheim.de/,,A,,,,,,,,,,
Gemeindewerke Stammbach,Rathausstraße 7,95236,Stammbach,https://www.gemeindewerke-stammbach.de,,R?,,,,,,,,,,
Gemeindewerke Steinhagen GmbH,Westernkamp 12,33803,Steinhagen,https://www.gs-werke.de,,A,,,,,,,,,,
Gemeindewerke Steißlingen,Schulstr. 19,78256,Steißlingen,https://www.steisslingen.de,,A,,,,,,,,,,
Gemeindewerke Stelzenberg c/o Stadtwerke Kaiserslautern Versorgungs-AG,Pirmasenser Straße 62,67655,Kaiserslautern,https://www.swk-kl.de,,A,,,,,,,,,,
Gemeindewerke Stockelsdorf GmbH,Marienburgstraße 7,23617,Stockelsdorf,https://www.gemeindewerke-stockelsdorf.de,,R?,,,,,,,,purepowerTrue (TÜV süd),,
Gemeindewerke Taufkirchen (Vils) GmbH & Co. KG,Rathausplatz 1,84416,Taufkirchen (Vils),https://www.gemeindewerke-taufkirchen.de,,A,,,,,,,,,,
Gemeindewerke Umkirch GmbH,Vinzenz-Kremp-Weg 1,79224,Umkirch,https://www.gemeindewerke-umkirch.de,,A,,,,,,,,,,
Gemeindewerke Waging,Salzburger Str. 1,83329,Waging am See,https://www.gemeindewerke-waging.de,,A,,"nur 2% normalstrom, erfüllt aber keine zuätzlichen kriterien",,,,,,,,
Gemeindewerke Weidenthal,Ramsteiner Weg 2,67685,Weilerbach,https://www.weidenthal.de/gemeindewerke/,,?,,,,,,,,,,
Gemeindewerke Wendelstein,Nürnberger Straße 5,90530,Wendelstein,https://www.gemeindewerke-wendelstein.de,,A,,,,,,,,,,übernommen von den Stadtwerken Kaiserslautern
Gemeindewerke Wildeck Obersuhl,Eisenacher Straße 98,36208,Wildeck Obersuhl,https://www.wildeck-hessen.de,,?,?,,,,,,,,x,tarife lassen keinen 100%igen Ökostrom erkennen
Gemeindewerken Bovenden GmbH & Co. KG,Rathausplatz 1,37120,Bovenden,https://www.gemeindewerke-bovenden.de,,A,,,,,,,,,,
Gemeindl. Werke Hengersberg,Mimminger Straße 2,94491,Hengersberg,https://www.gw-hengersberg.de,,A,,,,,,,,,,
Gemeindliche Stromversorgung Röttenbach,Ringstr. 46,91341,Röttenbach,https://www.roettenbach-erh.de,,A,,,,,,,,,,
gemeinsames Kommunalunternehmen Oberes Egertal,Wunsiedler Straße 30,95163,Weißenstadt,http://www.g-ku.de,,A,,,,,,,,,,
Georg Oest Mineralölwerk GmbH & Co KG,Georg-Oest-Str. 4,72250,Freudenstadt,https://www.oest.de,,A,,Avia Strom Gesellschafter,,,,,,,,"Tankstelle (Vertrieb von Erdgas, Strom, Heizöl, Diesel, Holzpellets, Kraft- und Schmierstoffe)"
GEW Wilhelmshaven GmbH,Nahestraße 6,26382,Wilhelmshaven,https://www.gew-wilhelmshaven.de,,A,,,,,,,,,,
Gewerbepark Nürnberg-Feucht Versorgungs- und Abwasserentsorgungs GmbH,Unterer Zeidlerweg 1,90537,Feucht,https://www.feucht-gw.de,,A,,,,,,,,,,
GGEW Gruppen-Gas- und Elektrizitätswerk Bergstraße AG,Dammstr. 68,64625,Bensheim,https://www.ggew.de,,A,,,,,,,x,,,
Greenline - alternative energien GmbH,Edelmannstr. 22,39218,Schönebeck,https://www.ggew.de,,A,,,,,,,,,,
Greenpeace Energy eG,Hongkongstr. 10,20457,Hamburg,https://www.greenpeace-energy.de,,X,,,,,,,,,,
grün.power GmbH,An der Fahrt 5,55124,Mainz,https://gruenpower.eu,,X,,,,,,,,,,
Grünstromwerk Vertriebs GmbH,Englische Planke 2,20459,Hamburg,https://www.gruenstromwerk.de,,X,? Nutzt u.a. Blockheitzkraftwerke für dezentrale Versorgung,,,,?,,,,,Spezialisiert auf Solarstrom und dezentrale Versorgungslösungen
Grünwelt - eine Marke der Stromio GmbH,Girmes-Kreuz-Str. 55,41564,Kaarst,https://www.gruenwelt.de,,A,,Marke der Stromio GmbH,,,,,,,,
GSW Gemeinschaftsstadtwerke GmbH Kamen - Bönen - Bergkamen,Poststraße 4,59174,Kamen,https://www.gsw-kamen.de,,A,,,,,,,,,,
GWG Grevenbroich GmbH,Nordstrasse 36,41515,Grevenbroich,https://www.gwg-grevenbroich.de,,A,,,,,,,,,,Certreten durch: NEW Niederrhein Energie und Wasser GmbH
GWS Stadtwerke Hameln GmbH,Hafenstrasse 14,31785,Hameln,https://www.stadtwerke-hameln.de,,A,,,,,,,,,,
HAMBURG ENERGIE GmbH,Billhorner Deich 2,20539,Hamburg,https://www.hamburgenergie.de/,,R,,,,,,,,TÜV Nord,,
Harz Energie GmbH & Co. KG,Lasfelder Str. 10,37520,Osterode,https://www.harzenergie.de,,A,,,,,,,,,,
Havelstrom Zehdenick GmbH,Schleusenstraße 22,16792,Zehdenick,https://www.stadtwerke-zehdenick.de,,A,,,,,,,,,,
Heinrich Klöcker GmbH & Co.KG,Ahauser Straße 21,46325,Borken,https://www.kloecker.de,,A,,Avia Strom Gesellschafter,,,,,,,,Avia Strom Gesellschafter
Hellweg Energie GmbH - eine Marke der Stadtwerke Lippstadt GmbH,Bunsenstr. 2,59557,Lippstadt,https://www.hellwegenergie.de,,A,,,,,,,,,,
Herzo Werke GmbH,Schießhausstraße 9,91074,Herzogenaurach,https://www.herzowerke.de,,R,,,,,,,,TÜV Rheinland,,
HEW HofEnergie+Wasser GmbH,Unterkotzauer Weg 25,95028,Hof,https://www.stadtwerke-hof.de,,A,,,,,,,,,,
HEWA GmbH,Wilhelm-Ulmer-Str. 12,91217,Hersbruck,https://www.hewagmbh.de,,A,,,,,,,,,,
ILZHÖFERS Nachf. Inh. Walch KG,Siebentischstr. 16a,86161,Augsburg,https://www.ilzhoefer.com,,A,,Avia Strom Gesellschafter,,,,,,,,Avia Strom Gesellschafter
infra fürth gmbh,Leyher Straße 69,90763,Fürth,https://www.infra-fuerth.de,,A,,,,,,,,,,
KBG KraftstromBezugsgenossenschaft Homberg eG,Ostpreußenweg 5,34576,Homberg/Efzen,https://www.besser-meine-stadtwerke.de,,?,,,,,,,,,x,
KEV Energie GmbH (Energie Nordeifel),Hindenburgstraße 13,53925,Kall,https://www.ene-eifel.de,,A,,,,,,,,,,
KlickEnergie GmbH & Co. KG,Moselstraße 25-27,41464,Neuss,https://www.klickenergie.de,,A,,,,,,,,,,
KommEnergie GmbH,Hauptplatz 4,82223,Eichenau,https://www.kommenergie.de,,R?,,"KommEnergie GmbH ist ein Gemeinschaftsunternehmen der Gemeinden Eichenau, Gröbenzell und der Stadt Puchheim sowie der Bayernwerk AG;  Bayernwerk AG ist eine 100-prozentige Tochter des E.ON-Konzerns",?,,,,,,,
Köthen Energie GmbH,Lelitzer Straße 27 b,06366,Köthen,https://www.koethenergie.de,,A,,,,,,,,,,
Kraftwerk Farchant A. Poettinger & Co KG,Esterbergstrasse 8,82490,Farchant,https://www.kw-farchant.com/,,A,,,,,,,,,,
Kraftwerk Köhlgartenwiese GmbH,Tegernauer Ortsstrasse 9,79692,Kleines Wiesental,https://www.koehlgartenwiese.de,,R?,,,?,,,,x,,,
Kraftwerke Haag GmbH,Gabelsbergerstraße 25,83527,Haag i. OB,https://www.kraftwerke-haag.de,,A,,,,,,,,,,
lekker Energie GmbH,Invalidenstraße 17 a,10115,Berlin,https://www.lekker.de,,A,,,,,,,,,,
Licht- und Kraftwerke Helmbrechts GmbH,Münchberger Str. 65,95233,Helmbrechts,https://www.luk-helmbrechts.de,,A,,,,,,,,,,
"Licht-, Kraft- und Wasserwerke Kitzingen GmbH",Wörthstraße 5,97318,Kitzingen,https://www.lkw-kitzingen.de,,A,,,,,,,,,,
LichtBlick SE,Zirkusweg 6,20359,Hamburg,https://www.lichtblick.de,,X,,,,,,,,,,
LogoEnergie GmbH,Münsterstraße 9,53881,Euskirchen,https://www.logoenergie.de,,B,,Über Rehnag mit RWE verflochten,?,,,,,,,
LSW Energie GmbH & Co. KG,Heßlinger Straße 1-5,38440,Wolfsburg,https://www.lsw.de,,A,,,,,,,,,,
MAINGAU Energie GmbH,Ringstraße 4 - 6,63179,Obertshausen,https://www.maingau-energie.de,,B,,Über Rehnag und Süwag mit Innogy bzw. RWE verflochten,,,,,,TÜV Süd EE,,
Mainova AG,Solmsstr. 38,60486,Frankfurt am Main,https://www.mainova.de,,A,,,,,,,,,,
Maintal-Werke-GmbH,Neckarstraße 7,63477,Maintal-Dörnigheim,https://www.maintal-werke.de,,A,,,,,,,,,,
Mainzer Stadtwerke Vertrieb und Service GmbH,Rheinallee 41,55118,Mainz,https://www.mainzer-stadtwerke.de,,A,,,,,,,,,,
MANN Naturenergie GmbH & Co. KG,Schulweg 8 - 14,57520,Langenbach,https://www.mannstrom.de,,X,,,,,,,,"GrünerStrom, TÜVSüd",,
Mark-E Aktiengesellschaft,Körnerstraße 40,58095,Hagen,https://www.mark-e.de,,?,fossile Energieerzeugung nur noch mittels Gas,?,,,,,,,,
MEGA Monheimer Elektrizitäts- und Gasversorgung GmbH,Daimlerstr. 10a,40789,Monheim am Rhein,http://www.mega-monheim.de,,A,,,,,,,,,,
meine StadtEnergie - eine Marke der Urbania GmbH,Breitwieserweg 5,69469,Weinheim,https://www.meinestadtenergie.de,,A,,,,,,,,,,
Meißener Stadtwerke GmbH,Karl-Niesner-Str. 1,01662,Meißen,https://www.stadtwerke-meissen.de,,A,,,,,,,,,,
Mindener Stadtwerke GmbH,Großer Domhof 3,32423,Minden,https://www.mindener-stadtwerke.de/,,A,,,,,,,,,,
MONTANA Energieversorgung GmbH & Co. KG,Dr.-Max-Straße 26,82031,Grünwald,https://www.montana-energie.de,,A,,,,,,,,,,
MVV Energie AG,Luisenring 49,68159,Mannheim,https://www.mvv.de,,A,,,,,,,,,,
natürlich grün - eine Marke der Smiling Green Energy GmbH,Grubesallee 24,22143,Hamburg,https://natuerlich-gruen-strom.de,,R?,,,?,,,,,EKOenergie,,
NaturStromHandel GmbH,Parsevalstraße 11,40468,Düsseldorf,https://www.naturstrom.de,,X,,,,,,,x,,,
Neander Energie GmbH,Wilhelmstraße 21,42489,Wülfrath,https://www.neander-energie.de,,R,,,,,,,,KlimaINVEST,,
Neckermann Strom GmbH,Südportal 3,22848,Norderstedt,https://www.neckermann-strom.de/,,C,,,,,,,,,,
Neubrandenburger Stadtwerke GmbH,John-Schehr-Straße 1-5,17033,Neubrandenburg,https://www.neu-sw.de,,A,,,,,,,,,,
NEW AG,Odenkirchenerstr. 201,41236,Mönchengladbach,https://www.new-energie.de,,A,,,,,,,,,,
NEW Niederrhein Energie und Wasser GmbH,Odenkirchener Str. 201,41236,Mönchengladbach,https://www.new-energie.de,,A,,,,,,,,,,
NEW Tönisvorst GmbH,Ringstraße 1,47918,Tönisvorst,https://www.new-energie.de,,A,,,,,,,,,,
NEW Viersen GmbH,Rektoratstraße 18,41747,Viersen,https://www.new-energie.de,,A,,,,,,,,,,
NGW GmbH,Duisburger Straße 161-167,47166,Duisburg,https://www.ngw.de,,A,,,,,,,,,,
Niedersachsen Ports GmbH & Co.KG Niederlassung Emden,Friedrich-Naumann-Str. 7-9,26725,Emden,https://www.nports.de/,,?,,,,,,,,,,
Nienburg Energie GmbH,An der Breiten Riede 9,31582,Nienburg,https://www.stadtwerke-nienburg.de,,A,,,,,,,,,,
NiersEnergie GmbH - eine Marke der Stadtwerke Kevelaer,Kroatenstr. 125,47623,Kevelaer,https://www.kevelaer.de,,R,,,?,,,,x,,,
Niestetal Energie - eine Marke der Städtische Werke Kassel AG,Heiligenröder Str. 70,34266,Niestetal,https://www.sw-kassel.de,,R,,?,?,,,,x,,,
Oberhessische Versorgungsbetriebe AG,Hanauer Straße 9-13,61169,Friedberg,https://www.ovag-energie.de,,A,,,,,,,,,,
Osterholzer Stadtwerke GmbH & Co. KG,Am Pumpelberg 4,27711,Osterholz-Scharmbeck,https://www.osterholzer-stadtwerke.de,,A,,,,,,,,,,
Pfalzwerke AG,Kurfürstenstr. 29,67061,Ludwigshafen,https://www.pfalzwerke.de,,A,,,,,,,,,,
Regionalwerk Bodensee GmbH & Co. KG,Waldesch 29,88069,Tettnang,https://www.rw-bodensee.de,,A,,,,,,,,,,
Remstalwerk GmbH & Co. KG,Schillerstr. 30,73630,Remshalden,https://www.remstalwerk.de,,A,,,,,,,,,,
RheinEnergie AG,Parkgürtel 24,50823,Köln,https://www.rheinenergie.com,,A,,,,,,,,,,
Rheinhessen-Energie GmbH c/o VG-Werke Sprendlingen-Gensingen AöR,Elisabethenstraße 1,55576,Sprendlingen,http://www.rheinhessen-energie.de,,R,,,?,,,,x,TÜV Nord,,
Rheinhessische Energie- und Wasserversorgungs-GmbH,Binger Straße 135,55218,Ingelheim,https://www.rheinhessische.de,,R?,,Thüga Aktiengesellschaft,,,,,,,,
rhenag Rheinische Energie AG,Bayenthalgürtel 9,50968,Köln,https://www.rhenag.de,,B,,Rehnag - Tochterunternehmen von innogy,,,,,,,,
RhönEnergie Fulda GmbH,Bahnhofstraße 2,36037,Fulda,https://re-fd.de,,A,,,,,,,,,,
ROTHMOSER GMBH & CO. KG,Am Urtelbach 4,85567,Grafing bei München,https://www.rothmoser.de,,?,?,,?,,,,,,x,
Schleswiger Stadtwerke GmbH,Werkstraße 1,24837,Schleswig,https:/www.schleswiger-stadtwerke.de,,A,?,,,,x,,,,,Erdgas
Schöpper & Knoll - Taubertal GmbH,Am Igelsbach 19,91541,Rothenburg o.d.T.,http://www.schoepper-knoll.de/de/index.php,,A,x,,,,,,,,,mit Avia verküpft
Schröder Gas GmbH & Co. KG,Dibberser Bahnhof 5,27321,Thedinghausen,https:/www.schroeder-gas.de,,R?,?,,?,,,,,,x,Erdgas
SE SAUBER ENERGIE GmbH & Co. KG,Bayenthalgürtel 9,50968,Köln,https://www.sauberenergie.de ,,B,,x,?,,,,,TÜV ,x,Innogy hat 30 Prozent anteil
Siegener Versorgungsbetriebe GmbH,Morleystraße 29-37,57072,Siegen,https://www.svb-siegen.de,,B,,x,?,,x,,,,,Innogy / rhenag beteiligung
Solargenossenschaft Rosenheim eG,Am Gangsteig 16,83024,Rosenheim,https://solargenossenschaft-rosenheim.de ,,D,,?,?,Strombezug von der Verbund AG,x,,x,TÜV süd,,Kraftwerk ist von VERBUND AG → Sind mit EVN Verbunden
Stadt- und Überlandwerke GmbH Lübben,Bahnhofstraße 30,15907,Lübben,https://www.stadtwerke-luebben.de ,,A,x,,,,x,,,,x,
Stadt- und Überlandwerke GmbH Luckau-Lübbenau,Am Bahnhof 2,15926,Luckau,https://www.suell.de/,,A,x,,,,x,,,,x,
Städtische Betriebswerke Luckenwalde GmbH,Kirchhofsweg 6,14943,Luckenwalde,https://www.sbl-gmbh.net/,,A,x,,,,x,,,,,
Städtische Werke AG Kassel,Königstor 3-13,34117,Kassel,https://www.sw-kassel.de/privatkunden/startseite.html,,A,,,,,,,,,,
Städtische Werke Magdeburg GmbH & Co. KG,Am Alten Theater 1,39104,Magdeburg,https://www.sw-magdeburg.de/privatkunden/startseite.html,,A,x,,,,x,,,,,
Städtische Werke Spremberg (Lausitz) GmbH,Lustgartenstraße 4a,03130,Spremberg,https://swspremberg.de/,,A,x,,,,x,,,,,
Städtisches Kommunalunternehmen Baiersdorf,Am Anger 5,91083,Baiersdorf,http://www.sk-baiersdorf.de/,,A,x,,,,x,,,,,
Stadtwerk am See GmbH & Co. KG,Kornblumenstr. 7/1,88046,Friedrichshafen,https://www.stadtwerk-am-see.de/de/index.php,,A,x,,,,,,,,,
Stadtwerk Haßfurt GmbH,Augsfelder Str.6,97437,Haßfurt,https://www.stwhas.de/,,A,x,,,,x,,,,,
Stadtwerk Külsheim GmbH,Kirchbergweg 7,97900,Külsheim,https://www.stwhas.de/,,A,x,,,,x,,,,,
Stadtwerk Tauberfranken GmbH,Max-Planck-Str. 5,97980,Bad Mergentheim,https://stadtwerk-tauberfranken.de/,,A,x,,,,x,,,,,
Stadtwerke - Strom Plauen GmbH & Co. KG,Hammerstraße 68,08523,Plauen,https://www.stadtwerke-strom-plauen.de/de/,,A,x,,,,x,,,,,
Stadtwerke Aalen GmbH,Im Hasennest 9,73433,Aalen,https://www.sw-aalen.de/,,A,x,,,,x,,,,,
Stadtwerke Achim AG,Gaswerkstr.7,28832,Achim,https://www.stadtwerke-achim.de/,,A,x,,,,x,,,,,
Stadtwerke Ahrensburg GmbH,Lohe 1,22926,Ahrensburg,https://www.stadtwerke-ahrensburg.de/,,A,x,,,,x,,,,,
Stadtwerke Altdorf GmbH,Hersbrucker Straße 6a,90518,Altdorf,https://www.stadtwerke-altdorf.de/,,A,x,,,,x,,,,,
Stadtwerke Altensteig,Jahnstraße 13,72213,Altensteig,https://www.stadtwerke-altensteig.de/de/Privatkunden,,A,x,,,,x,,,Grünstrom (nicht Gold),,
Stadtwerke Andernach Energie GmbH,Läufstraße 4,56626,Andernach,https://www.stadtwerke-andernach-energie.de/,,A,x,,,,x,,,,,
Stadtwerke Annweiler,Saarlandstr. 13,76855,Annweiler,https://www.stadtwerke-annweiler.de/startseite.html,,A,x,,,,x,,,,,
Stadtwerke Ansbach GmbH,Rügländer Straße 1a,91522,Ansbach,https://www.stwan.de/,,A,x,,,,x,,,,,
Stadtwerke Arnsberg Vertriebs und Energiedienstleistungs GmbH,Niedereimerfeld 22,59823,Arnsberg,https://www.stadtwerke-arnsberg.de/,,A,,,?,,,,,TÜV,,
Stadtwerke Arnstadt GmbH,Elxlebener Weg 8,99310,Arnstadt,https://www.sw-arnstadt.de/,,A,x,,,,x,,,,,
Stadtwerke Aschersleben GmbH,Postfach 1756,06449,Aschersleben,https://www.sw-aschersleben.de/startseite.html,,A,x,,,,x,,,,,
Stadtwerke Augsburg Energie GmbH,Hoher Weg 1,86152,Augsburg,https://www.sw-augsburg.de/,,A,x,,,,x,,,,,
Stadtwerke Bad Aibling,Lindenstr. 30,83043,Bad Aibling,https://www.stadtwerke-bad-aibling.de/,,A,,,?,Strombezug von der Verbund AG,x,,,,,Kraftwerk ist von VERBUND AG → Sind mit EVN Verbunden
Stadtwerke Bad Bramstedt GmbH,Lohstücker Weg 10 - 12,24576,Bad Bramstedt,https://www.stadtwerke-badbramstedt.de/,,B,,x,,,,,,,,"36 Prozent von Hansa Werk, die zu großteil e.on gehören"
Stadtwerke Bad Brückenau GmbH,Sinnaustr. 14,97769,Bad Brückenau,http://www.stadtwerke-bad-brueckenau.de/de/Fussnavigation/Impressum/,,R?,,,,,x,,, Grünstrom (nicht Gold) Grünstrom gibt es nicht nur „GrünerStrom“ und die zertifizierung ist in diesem Fall “Firstclimate“ ,,
Stadtwerke Bad Dürkheim GmbH,Salinenstrasse 36,67098,Bad Dürkheim,http://sw-duerkheim.de/,,A,x,,,,x,,,Grünstrom (nicht Gold),,
Stadtwerke Bad Friedrichshall,Saline 1,74177,Bad Friedrichshall,http://www.bad-friedrichshall.de/content1.asp?site=bfhallgemeines&cls=01,,A,x,,,,x,,,,,
Stadtwerke Bad Herrenalb GmbH,Bahnhofstr. 12,76332,Bad Herrenalb,https://www.stw-badherrenalb.de/,,A,x,?,?,?,,,,,,über Tühga und Ruhrgas mit e.on verbunden
Stadtwerke Bad Hersfeld GmbH,Kleine Industriestrasse 1,36251,Bad Hersfeld,https://www.stadtwerke-hef.de/,,B,,x,,,x,,,,,
Stadtwerke Bad Kissingen GmbH,Würzburger Straße 5,97688,Bad Kissingen,https://www.stwkiss.de/,,A,x,,,,x,,,,,
Stadtwerke Bad Langensalza GmbH,Illebener Weg 11a,99947,Bad Langensalza,https://www.swl-badlangensalza.de/,,A,x,,,,x,,,,,
Stadtwerke Bad Nauheim GmbH,Hohe Straße 14-18,61231,Bad Nauheim,https://www.stadtwerke-bad-nauheim.de/,,A,x,,,,x,,,,,
Stadtwerke Bad Neustadt a.d. Saale,Goethestr. 17/19,97616,Bad Neustadt,https://www.stw-badnes.de/,,A,x,,,,x,,,,,
Stadtwerke Bad Pyrmont Energie & Verkehrs GmbH,Südstrasse 3,31812,Bad Pyrmont,https://www.stadtwerke-bad-pyrmont.de/,,A,x,,,,x,,,,,
Stadtwerke Bad Reichenhall KU,Hallgrafenstraße 2,83435,Bad Reichenhall,https://www.stadtwerke-bad-reichenhall.de/index.php/home/?lang=de&node=home,,A,x,,,,x,,,,,
Stadtwerke Bad Sachsa GmbH,Feldstraße 10,37441,Bad Sachsa,https://www.stwbadsachsa.de/home.html,,A,x,,,,x,,,,,
Stadtwerke Bad Säckingen GmbH,Schulhausstraße 40,79713,Bad Säckingen,https://www.sws-energie.de/sws-energie/unternehmen/ansprechpartner.php,,A,x,,,,x,,,,,
Stadtwerke Bad Salzuflen GmbH,Uferstr. 36-44,32108,Bad Salzuflen,https://www.stwbs.de/,,A,x,,,,x,,,,,
Stadtwerke Bad Saulgau,Moosheimer Straße 28,88348,Bad Saulgau,https://www.bad-saulgau.de/stadtwerke/,,A,x,,,,x,,,,,
Stadtwerke Bad Sooden-Allendorf,Werrastrasse 24,37242,Bad Sooden-Allendorf,https://stadtwerke-bsa.de/stadtwerke/home,,A,x,,,,x,,,,,
Stadtwerke Bad Tölz GmbH,An der Osterleite 2,83646,Bad Tölz,https://stw-toelz.de/,,R?,,,,,,,x,,,
Stadtwerke Bad Vilbel GmbH,Theodor-Heuss-Str. 53-63,61118,Bad Vilbel-Dortelweil,https://www.sw-bv.de/,,A,x,,,,x,,,,,
Stadtwerke Bad Wildbad GmbH & Co. KG,Ladestr. 5,75323,Bad Wildbad,https://www.stadtwerke-bad-wildbad.de/,,A,x,,,,x,,,,,
Stadtwerke Bad Windsheim,Vorm Rothenburger Tor 2,91438,Bad Windsheim,https://www.sw-bw.de/startseite/,,A,x,,,,x,,,,,
Stadtwerke Bad Wörishofen,Stadionring 18,86825,Bad Wörishofen,https://www.swbw.de/,,A,x,,,,x,,,,,
Stadtwerke Balingen,Wasserwiesen 37,72336,Balingen,https://www.stadtwerke.balingen.de/,,A,x,,,,x,,,,,
Stadtwerke Bamberg Energie- und Wasserversorgungs GmbH,Margaretendamm 28,96052,Bamberg,https://www.stadtwerke-bamberg.de/,,A,x,,,,x,,,,,
Stadtwerke Barmstedt,Bahnhofstr. 27,25355,Barmstedt,https://stadtwerke-barmstedt.de/privatkunden/,,A,x,,,,x,,,,,
Stadtwerke Barmstedt Xtra GmbH,Bahnhofstr. 27,25355,Barmstedt,https://stadtwerke-barmstedt.de/privatkunden/,,A,x,,,,x,,,,,
Stadtwerke Barth GmbH,Louis-Fürnberg-Strasse 3,18356,Barth,https://www.stadtwerke-barth.de/,,A,x,,,,x,,,,,
Stadtwerke Bayreuth Energie und Wasser GmbH,Birkenstraße 2,95447,Bayreuth,https://www.stadtwerke-bayreuth.de/,,B,,,,,,,,TÜV NORD,,
Stadtwerke Bebra GmbH,Wiesenweg 1,36179,Bebra,https://www.stadtwerke-bebra.de/,,R?,,,?,,,,,,,
Stadtwerke Bernau GmbH,Breitscheidstraße 45,16321,Bernau bei Berlin,https://www.stadtwerke-bernau.de/,,A,x,,,,x,,,,,
Stadtwerke Bexbach GmbH,Kolpingstraße 83,66450,Bexbach,http://www.stadtwerke-bexbach.de/,,A,x,,,,x,,,,,
Stadtwerke Bielefeld GmbH,Schildescher Str. 16,33611,Bielefeld,https://www.stadtwerke-bielefeld.de/,,A,x,,,,x,,,,,
Stadtwerke Bietigheim-Bissingen GmbH,Rötestr. 8,74321,Bietigheim-Bissingen,https://www.sw-bb.de/,,A,x,,,,x,,,,,
Stadtwerke Blankenburg GmbH,Börnecker Straße 6,38889,Blankenburg,https://www.sw-blankenburg.de/,,A,x,,,,x,,,,,
Stadtwerke Bliestal GmbH,Bliesgaustraße 13,66440,Blieskastel,https://www.stadtwerke-bliestal.de/privatkunden/startseite/,,A,x,,,,x,,,,,
Stadtwerke Böblingen GmbH & Co. KG,Wolfgang-Brumme-Allee 32,71032,Böblingen,https://www.stadtwerke-boeblingen.de/,,A,x,,,,x,,,,,
Stadtwerke Bochum GmbH,Ostring 28,44787,Bochum,https://www.stadtwerke-bochum.de/privatkunden.html,,A,x,,,,x,,,,,
Stadtwerke Bogen GmbH,Agendorfer Straße 19,94327,Bogen,https://www.stadtwerke-bogen.de/,,A,x,,,,x,,,,,
Stadtwerke Brandenburg an der Havel GmbH & Co. KG,Packhofstraße 31,14776,Brandenburg an der Havel,https://www.stwb.de/,,A,x,,,,x,,,,,
Stadtwerke Bredstedt GmbH,Markt 3,25821,Bredstedt,https://www.sw-nf.de/,,A,,,,,,,,,,
Stadtwerke Bretten GmbH,Pforzheimer Str. 80-84,75015,Bretten,https://www.stadtwerke-bretten.de/,,A,x,,,,x,,,,,
Stadtwerke Brühl GmbH,Engeldorfer Straße 2,50321,Brühl,https://www.stadtwerke-bruehl.de/,,A,x,,,,x,,,,x,
Stadtwerke Brunsbüttel GmbH,Eddelaker Straße 123 d,25541,Brunsbüttel,https://www.stadtwerke-brunsbuettel.de/de/,,A,x,,,,x,,,,,
Stadtwerke Buchen GmbH & Co KG,Am Hohen Markstein 3,74722,Buchen/Odenwald,https://www.stadtwerke-buchen.de/,,A,x,,,,x,,,,,
Stadtwerke Buchholz in der Nordheide GmbH,Maurerstraße 10,21244,Buchholz i.d.N.,https://buchholz-stadtwerke.de/startseite.html,,A,x,,,,x,,,,,
Stadtwerke Bühl GmbH,Siemensstr. 5,77815,Bühl,https://www.stadtwerke-buehl.de/de/Privatkunden,,A,x,,,,x,,,,,
Stadtwerke Burg GmbH,Schartauer Straße 58a,39288,Burg,https://stadtwerke-burg.de/,,A,x,,,,x,,,,,
Stadtwerke Burgdorf GmbH,Vor dem Hannoverschen Tor 12,31303,Burgdorf,https://www.stadtwerke-burgdorf.de/,,A,x,,,,x,,,,,
